seed,lam,split,theta,FR,TTDef,SupPct,F1
42,0.0001,test,0.2,0.0,0.0008680555555555556,61.44506335258484,1.0
42,0.0001,test,0.3,0.0,0.0234375,61.44506335258484,1.0
42,0.0001,test,0.5,0.0,0.3272569444444444,61.44506335258484,1.0
42,0.0005,val,0.05,0.0,0.0,78.48557829856873,0.8695652173913043
42,0.0005,val,0.1,0.0,0.0,78.48557829856873,1.0
42,0.0005,val,0.15,0.0,0.0,78.48557829856873,1.0
42,0.0005,val,0.2,0.0,0.0,78.48557829856873,1.0
42,0.0005,val,0.3,0.0,0.049479166666666664,78.48557829856873,1.0
42,0.0005,val,0.5,0.0,0.3072916666666667,78.48557829856873,1.0
42,0.0005,test,0.05,0.0,0.0,78.68896126747131,0.8664259927797834
42,0.0005,test,0.1,0.0,0.0017361111111111112,78.68896126747131,0.9917355371900827
42,0.0005,test,0.15,0.0,0.0017361111111111112,78.68896126747131,1.0
42,0.0005,test,0.2,0.0,0.0017361111111111112,78.68896126747131,1.0
42,0.0005,test,0.3,0.0,0.049479166666666664,78.68896126747131,1.0
42,0.0005,test,0.5,0.0,0.3151041666666667,78.68896126747131,1.0
42,0.001,val,0.05,0.0,0.0,84.18803215026855,0.8695652173913043
42,0.001,val,0.1,0.0,0.0,84.18803215026855,0.9836065573770492
42,0.001,val,0.15,0.0,0.0,84.18803215026855,1.0
42,0.001,val,0.2,0.0,0.004340277777777778,84.18803215026855,1.0
42,0.001,val,0.3,0.0,0.06944444444444445,84.18803215026855,1.0
42,0.001,val,0.5,0.0,0.3298611111111111,84.18803215026855,1.0
42,0.001,test,0.05,0.0,0.0,84.56740975379944,0.8664259927797834
42,0.001,test,0.1,0.0,0.0008680555555555556,84.56740975379944,0.9876543209876543
42,0.001,test,0.15,0.0,0.0034722222222222225,84.56740975379944,1.0
42,0.001,test,0.2,0.0,0.005208333333333333,84.56740975379944,1.0
42,0.001,test,0.3,0.0,0.06336805555555557,84.56740975379944,1.0
42,0.001,test,0.5,0.0,0.3532986111111111,84.56740975379944,1.0
42,0.005,val,0.05,0.0,0.0,93.36271286010742,0.8695652173913043
42,0.005,val,0.1,0.0,0.1701388888888889,93.36271286010742,0.975609756097561
42,0.005,val,0.15,0.0,0.1701388888888889,93.36271286010742,0.9795918367346939
42,0.005,val,0.2,0.0,0.1701388888888889,93.36271286010742,0.9917355371900827
42,0.005,val,0.3,0.0,0.24565972222222224,93.36271286010742,0.995850622406639
42,0.005,val,0.5,0.0,0.45138888888888895,93.36271286010742,0.995850622406639
42,0.005,test,0.05,0.0,0.0,93.4049904346466,0.8664259927797834
42,0.005,test,0.1,0.0,0.16927083333333334,93.4049904346466,0.9795918367346939
42,0.005,test,0.15,0.0,0.16927083333333334,93.4049904346466,0.9876543209876543
42,0.005,test,0.2,0.0,0.16927083333333334,93.4049904346466,0.9917355371900827
42,0.005,test,0.3,0.0,0.26909722222222227,93.4049904346466,0.9917355371900827
42,0.005,test,0.5,0.0,0.46875000000000006,93.4049904346466,0.995850622406639
43,1e-05,val,0.05,0.0,0.0,0.320512056350708,0.8695652173913043
43,1e-05,val,0.1,0.0,0.0,0.320512056350708,0.995850622406639
43,1e-05,val,0.15,0.0,0.0,0.320512056350708,1.0
43,1e-05,val,0.2,0.0,0.0,0.320512056350708,1.0
43,1e-05,val,0.3,0.0,0.02690972222222222,0.320512056350708,1.0
43,1e-05,val,0.5,0.0,0.31076388888888895,0.320512056350708,1.0
43,1e-05,test,0.05,0.0,0.0,0.39145350456237793,0.8664259927797834
43,1e-05,test,0.1,0.0,0.0,0.39145350456237793,0.9917355371900827
43,1e-05,test,0.15,0.0,0.0,0.39145350456237793,1.0
43,1e-05,test,0.2,0.0,0.0,0.39145350456237793,1.0
43,1e-05,test,0.3,0.0,0.02170138888888889,0.39145350456237793,1.0
43,1e-05,test,0.5,0.0,0.35590277777777785,0.39145350456237793,1.0
43,5e-05,val,0.05,0.0,0.0,49.078524112701416,0.8695652173913043
43,5e-05,val,0.1,0.0,0.0,49.078524112701416,0.995850622406639
43,5e-05,val,0.15,0.0,0.0017361111111111112,49.078524112701416,1.0
43,5e-05,val,0.2,0.0,0.005208333333333333,49.078524112701416,1.0
43,5e-05,val,0.3,0.0,0.049479166666666664,49.078524112701416,1.0
43,5e-05,val,0.5,0.008333333333333333,0.40808823529411764,49.078524112701416,0.99581589958159
43,5e-05,test,0.05,0.0,0.0,49.50239062309265,0.8664259927797834
43,5e-05,test,0.1,0.0,0.0,49.50239062309265,0.9917355371900827
43,5e-05,test,0.15,0.0,0.0008680555555555556,49.50239062309265,1.0
43,5e-05,test,0.2,0.0,0.0078125,49.50239062309265,1.0
43,5e-05,test,0.3,0.0,0.04600694444444445,49.50239062309265,1.0
43,5e-05,test,0.5,0.0,0.38107638888888895,49.50239062309265,1.0
43,0.0001,val,0.05,0.0,0.0,59.341609477996826,0.8695652173913043
43,0.0001,val,0.1,0.0,0.0,59.341609477996826,0.9795918367346939
43,0.0001,val,0.15,0.0,0.0,59.341609477996826,1.0
43,0.0001,val,0.2,0.0,0.0,59.341609477996826,1.0
43,0.0001,val,0.3,0.0,0.0017361111111111112,59.341609477996826,1.0
43,0.0001,val,0.5,0.0,0.19791666666666666,59.341609477996826,1.0
