tau_delta,tau_h,fr_val,ttdef_val,skip_pct,feasible,seed
0.015102,0.18,0.0,0.026,32.85,True,43
0.015102,0.2,0.0,0.026,33.35,True,43
0.015102,0.25,0.0,0.0295,34.38,False,43
0.015102,0.3,0.0,0.0304,35.64,False,43
0.015102,0.35,0.0,0.0321,36.32,False,43
0.015102,0.4,0.0,0.033,37.52,False,43
0.015102,0.5,0.0,0.0339,41.48,False,43
0.015102,0.7,0.0,0.0339,46.73,False,43
0.015852,0.05,0.0,0.0234,30.03,True,43
0.015852,0.08,0.0,0.0234,30.46,True,43
0.015852,0.1,0.0,0.0234,30.69,True,43
0.015852,0.12,0.0,0.0252,30.99,True,43
0.015852,0.15,0.0,0.026,32.08,True,43
0.015852,0.18,0.0,0.0269,34.15,True,43
0.015852,0.2,0.0,0.0269,34.72,True,43
0.015852,0.25,0.0,0.0304,35.76,False,43
0.015852,0.3,0.0,0.0321,37.11,False,43
0.015852,0.35,0.0,0.0339,37.81,False,43
0.015852,0.4,0.0,0.0356,39.07,False,43
0.015852,0.5,0.0,0.0365,43.18,False,43
0.015852,0.7,0.0,0.0365,48.63,False,43
0.016553,0.05,0.0,0.0234,31.12,True,43
0.016553,0.08,0.0,0.0234,31.59,True,43
0.016553,0.1,0.0,0.0234,31.82,True,43
0.016553,0.12,0.0,0.0252,32.13,True,43
0.016553,0.15,0.0,0.026,33.28,True,43
0.016553,0.18,0.0,0.0269,35.56,True,43
0.016553,0.2,0.0,0.0269,36.14,True,43
0.016553,0.25,0.0,0.0304,37.19,False,43
0.016553,0.3,0.0,0.0321,38.6,False,43
0.016553,0.35,0.0,0.0339,39.32,False,43
0.016553,0.4,0.0,0.0356,40.65,False,43
0.016553,0.5,0.0,0.0365,44.84,False,43
0.016553,0.7,0.0,0.0365,50.55,False,43
0.017291,0.05,0.0,0.0234,32.22,True,43
0.017291,0.08,0.0,0.0234,32.73,True,43
0.017291,0.1,0.0,0.0234,32.96,True,43
0.017291,0.12,0.0,0.0252,33.29,True,43
0.017291,0.15,0.0,0.026,34.54,True,43
0.017291,0.18,0.0,0.0269,36.95,True,43
0.017291,0.2,0.0,0.0269,37.52,True,43
0.017291,0.25,0.0,0.0304,38.58,False,43
0.017291,0.3,0.0,0.0321,40.04,False,43
0.017291,0.35,0.0,0.0356,40.81,False,43
0.017291,0.4,0.0,0.0373,42.22,False,43
0.017291,0.5,0.0,0.0382,46.58,False,43
0.017291,0.7,0.0,0.0382,52.52,False,43
0.018053,0.05,0.0,0.0234,33.29,True,43
0.018053,0.08,0.0,0.0234,33.81,True,43
0.018053,0.1,0.0,0.0234,34.05,True,43
0.018053,0.12,0.0,0.026,34.43,True,43
0.018053,0.15,0.0,0.0269,35.72,True,43
0.018053,0.18,0.0,0.0278,38.21,True,43
0.018053,0.2,0.0,0.0278,38.79,True,43
0.018053,0.25,0.0,0.0312,39.9,False,43
0.018053,0.3,0.0,0.0347,41.51,False,43
0.018053,0.35,0.0,0.0382,42.27,False,43
0.018053,0.4,0.0,0.0425,43.8,False,43
0.018053,0.5,0.0,0.0434,48.26,False,43
0.018053,0.7,0.0,0.0434,54.37,False,43
0.018894,0.05,0.0,0.0234,34.45,True,43
0.018894,0.08,0.0,0.0234,34.99,True,43
0.018894,0.1,0.0,0.0234,35.24,True,43
0.018894,0.12,0.0,0.026,35.66,True,43
0.018894,0.15,0.0,0.0269,36.99,True,43
0.018894,0.18,0.0,0.0278,39.58,True,43
0.018894,0.2,0.0,0.0278,40.19,True,43
0.018894,0.25,0.0,0.0312,41.37,False,43
0.018894,0.3,0.0,0.0347,43.03,False,43
0.018894,0.35,0.0,0.0391,43.82,False,43
0.018894,0.4,0.0,0.0434,45.41,False,43
0.018894,0.5,0.0,0.0443,49.99,False,43
0.018894,0.7,0.0,0.0443,56.22,False,43
0.019742,0.05,0.0,0.0234,35.55,True,43
0.019742,0.08,0.0,0.0234,36.09,True,43
0.019742,0.1,0.0,0.0234,36.33,True,43
0.019742,0.12,0.0,0.026,36.76,True,43
0.019742,0.15,0.0,0.0269,38.18,True,43
0.019742,0.18,0.0,0.0278,40.98,True,43
0.019742,0.2,0.0,0.0278,41.63,True,43
0.019742,0.25,0.0,0.0339,42.79,False,43
0.019742,0.3,0.0,0.0373,44.52,False,43
0.019742,0.35,0.0,0.0417,45.34,False,43
0.019742,0.4,0.0,0.046,47.0,False,43
0.019742,0.5,0.0,0.0469,51.68,False,43
0.019742,0.7,0.0,0.0469,58.11,False,43
0.020614,0.05,0.0,0.0234,36.65,True,43
0.020614,0.08,0.0,0.0234,37.2,True,43
0.020614,0.1,0.0,0.0234,37.45,True,43
0.020614,0.12,0.0,0.026,37.89,True,43
0.020614,0.15,0.0,0.0269,39.35,True,43
0.020614,0.18,0.0,0.0278,42.32,True,43
0.020614,0.2,0.0,0.0278,43.01,True,43
0.020614,0.25,0.0,0.0339,44.16,False,43
0.020614,0.3,0.0,0.0373,45.94,False,43
0.020614,0.35,0.0,0.0417,46.79,False,43
0.020614,0.4,0.0,0.046,48.56,False,43
0.020614,0.5,0.0,0.0486,53.38,False,43
0.020614,0.7,0.0,0.0486,60.01,False,43
0.021505,0.05,0.0,0.0234,37.73,True,43
0.021505,0.08,0.0,0.0234,38.29,True,43
0.021505,0.1,0.0,0.0234,38.56,True,43
0.021505,0.12,0.0,0.0286,39.06,False,43
0.021505,0.15,0.0,0.0312,40.57,False,43
0.021505,0.18,0.0,0.0312,43.7,False,43
0.021505,0.2,0.0,0.0312,44.41,False,43
0.021505,0.25,0.0,0.0347,45.56,False,43
0.021505,0.3,0.0,0.0408,47.44,False,43
0.021505,0.35,0.0,0.0451,48.31,False,43
0.021505,0.4,0.0,0.0495,50.1,False,43
0.021505,0.5,0.0,0.0521,55.02,False,43
0.021505,0.7,0.0,0.0521,61.89,False,43
0.022391,0.05,0.0,0.0234,38.77,True,43
0.022391,0.08,0.0,0.0234,39.36,True,43
0.022391,0.1,0.0,0.0234,39.62,True,43
0.022391,0.12,0.0,0.0286,40.14,False,43
0.022391,0.15,0.0,0.033,41.75,False,43
0.022391,0.18,0.0,0.033,45.04,False,43
0.022391,0.2,0.0,0.033,45.74,False,43
0.022391,0.25,0.0,0.0347,46.94,False,43
0.022391,0.3,0.0,0.0417,49.01,False,43
0.022391,0.35,0.0,0.046,49.95,False,43
0.022391,0.4,0.0,0.0503,51.79,False,43
0.022391,0.5,0.0,0.0538,56.78,False,43
0.022391,0.7,0.0,0.0538,63.82,False,43
0.023456,0.05,0.0,0.0234,39.91,True,43
