seed,dur_frames,dur_s,support,config,FR,TTD,TTDef,SupPct,ComputeRate,FSonset,FSonsetSimple,F1,ECE,H_stable,H_pre,H_post,n_crit
44,22,2.292,interpolation OOD,AF-TOI+MHEG,0.0083,0.3755,0.4589,48.47,0.5153,0.0667,0.1818,0.9958,0.1651,0.0015,0.0016,0.4851,120
44,31,3.229,ID anchor (progressive),Baseline Fixed,0.0167,0.3187,0.4853,0.0,1.0,0.0,0.0,0.6286,0.0434,0.0055,0.0056,0.0593,120
44,31,3.229,ID anchor (progressive),Baseline+MHEG,0.0167,0.4776,0.6442,60.78,0.3922,0.3694,0.4841,0.6364,0.0519,0.0055,0.0056,0.0593,120
44,31,3.229,ID anchor (progressive),AF-TOI Fixed,0.0167,0.3831,0.5498,0.0,1.0,0.0,0.0,0.9916,0.0747,0.0015,0.0016,0.4725,120
44,31,3.229,ID anchor (progressive),AF-TOI+MHEG,0.0167,0.3946,0.5613,48.94,0.5106,0.0681,0.1265,0.9916,0.0746,0.0015,0.0016,0.4725,120
44,42,4.375,extrapolation-slow OOD,Baseline Fixed,0.0167,0.3204,0.4871,0.0,1.0,0.0,0.0,0.8837,0.0499,0.0055,0.0056,0.0543,120
44,42,4.375,extrapolation-slow OOD,Baseline+MHEG,0.0167,0.4617,0.6284,59.07,0.4093,0.3328,0.3962,0.8837,0.0573,0.0055,0.0056,0.0543,120
44,42,4.375,extrapolation-slow OOD,AF-TOI Fixed,0.0917,0.1606,1.0772,0.0,1.0,0.0,0.0,0.952,0.0728,0.0015,0.0016,0.4668,120
44,42,4.375,extrapolation-slow OOD,AF-TOI+MHEG,0.0917,0.1873,1.104,51.92,0.4808,0.0806,0.1098,0.952,0.0694,0.0015,0.0016,0.4668,120
44,50,5.208,extrapolation-slow OOD,Baseline Fixed,0.075,0.3707,1.1207,0.0,1.0,0.0,0.0,0.9427,0.0941,0.0055,0.0056,0.053,120
44,50,5.208,extrapolation-slow OOD,Baseline+MHEG,0.075,0.4411,1.1911,60.89,0.3911,0.2708,0.347,0.9427,0.0972,0.0055,0.0056,0.053,120
44,50,5.208,extrapolation-slow OOD,AF-TOI Fixed,0.0917,0.1309,1.0476,0.0,1.0,0.0,0.0,0.952,0.0639,0.0015,0.0016,0.4651,120
44,50,5.208,extrapolation-slow OOD,AF-TOI+MHEG,0.0917,0.1472,1.0638,52.06,0.4794,0.0458,0.0765,0.952,0.0588,0.0015,0.0016,0.4651,120
45,2,0.208,extrapolation-fast OOD,Baseline Fixed,0.1833,1.5359,3.3693,0.0,1.0,0.0,0.0,0.0328,0.0964,0.0079,0.0081,0.1132,120
45,2,0.208,extrapolation-fast OOD,Baseline+MHEG,0.3333,1.6211,4.9544,76.52,0.2348,0.2235,0.5795,0.0328,0.0758,0.0079,0.0081,0.1132,120
45,2,0.208,extrapolation-fast OOD,AF-TOI Fixed,0.0,0.3012,0.3012,0.0,1.0,0.0,0.0,0.0645,0.1609,0.0018,0.0018,0.5237,120
45,2,0.208,extrapolation-fast OOD,AF-TOI+MHEG,0.0167,0.4096,0.5763,61.25,0.3875,0.1493,0.4508,0.0952,0.1565,0.0018,0.0018,0.5237,120
45,6,0.625,ID anchor (abrupt),Baseline Fixed,0.1667,1.2313,2.8979,0.0,1.0,0.0,0.0,0.0952,0.1138,0.0079,0.0081,0.1483,120
45,6,0.625,ID anchor (abrupt),Baseline+MHEG,0.3,1.2922,4.2922,71.33,0.2867,0.3407,0.528,0.0952,0.0976,0.0079,0.0081,0.1483,120
45,6,0.625,ID anchor (abrupt),AF-TOI Fixed,0.0083,0.1164,0.1998,0.0,1.0,0.0,0.0,0.0645,0.1453,0.0018,0.0018,0.5246,120
45,6,0.625,ID anchor (abrupt),AF-TOI+MHEG,0.0167,0.1236,0.2903,59.49,0.4051,0.051,0.3538,0.0952,0.1454,0.0018,0.0018,0.5246,120
45,10,1.042,ID anchor (abrupt edge),Baseline Fixed,0.0917,0.992,1.9086,0.0,1.0,0.0,0.0,0.1538,0.1412,0.0079,0.0081,0.1426,120
45,10,1.042,ID anchor (abrupt edge),Baseline+MHEG,0.15,1.0304,2.5304,66.2,0.338,0.4481,0.6008,0.1538,0.1347,0.0079,0.0081,0.1426,120
45,10,1.042,ID anchor (abrupt edge),AF-TOI Fixed,0.0,0.375,0.375,0.0,1.0,0.0,0.0,0.0645,0.1687,0.0018,0.0018,0.5056,120
45,10,1.042,ID anchor (abrupt edge),AF-TOI+MHEG,0.0167,0.4202,0.5869,59.15,0.4085,0.1008,0.3697,0.0952,0.1702,0.0018,0.0018,0.5056,120
45,14,1.458,interpolation OOD,Baseline Fixed,0.05,0.8818,1.3818,0.0,1.0,0.0,0.0,0.209,0.148,0.0079,0.0081,0.1229,120
45,14,1.458,interpolation OOD,Baseline+MHEG,0.075,0.8549,1.6049,62.77,0.3723,0.4583,0.5924,0.1538,0.1557,0.0079,0.0081,0.1229,120
45,14,1.458,interpolation OOD,AF-TOI Fixed,0.0,0.3819,0.3819,0.0,1.0,0.0,0.0,0.08,0.1848,0.0018,0.0018,0.501,120
45,14,1.458,interpolation OOD,AF-TOI+MHEG,0.0,0.5148,0.5148,59.14,0.4086,0.1889,0.3568,0.1102,0.1954,0.0018,0.0018,0.501,120
45,18,1.875,interpolation OOD,Baseline Fixed,0.05,0.7621,1.2621,0.0,1.0,0.0,0.0,0.2353,0.1335,0.0079,0.0081,0.1167,120
45,18,1.875,interpolation OOD,Baseline+MHEG,0.0833,0.6913,1.5246,62.88,0.3712,0.4917,0.5939,0.1818,0.1415,0.0079,0.0081,0.1167,120
