seed,dur_frames,dur_s,method,compute_rate,target_rate,budget_diff,match_mode,SupPct,FSonset,FSonsetSimple,FR,TTDef,F1,valid
49,2,0.208,AF-TOI+MHEG (frozen),0.5,0.5,0.0,frozen,50.0,0.1328,0.4492,0.0169,0.9274,0.8,True
49,2,0.208,Baseline+MHEG (matched),0.4976,0.5,0.0048,tau_d,50.24,0.073,0.3105,0.1271,2.7164,0.0,True
49,6,0.625,AF-TOI+MHEG (frozen),0.5199,0.5199,0.0,frozen,48.01,0.1107,0.3735,0.0167,0.6628,0.794,True
49,6,0.625,Baseline+MHEG (matched),0.5143,0.5199,0.0108,tau_h,48.57,0.0104,0.2614,0.0333,1.3346,0.1395,True
49,10,1.042,AF-TOI+MHEG (frozen),0.5258,0.5258,0.0,frozen,47.42,0.1744,0.3545,0.0083,0.4825,0.7629,True
49,10,1.042,Baseline+MHEG (matched),0.5208,0.5258,0.0094,tau_h,47.92,0.0533,0.2371,0.0083,0.8475,0.1679,True
49,14,1.458,AF-TOI+MHEG (frozen),0.5188,0.5188,0.0,frozen,48.12,0.225,0.3462,0.0,0.5278,0.75,True
49,14,1.458,Baseline+MHEG (matched),0.5264,0.5188,0.0148,tau_h,47.36,0.1111,0.2727,0.0083,0.6821,0.1818,True
49,18,1.875,AF-TOI+MHEG (frozen),0.5146,0.5146,0.0,frozen,48.54,0.1694,0.3015,0.0,0.4358,0.7166,True
49,18,1.875,Baseline+MHEG (matched),0.5056,0.5146,0.0174,tau_h,49.44,0.1278,0.2856,0.0,0.5113,0.2353,True
49,22,2.292,AF-TOI+MHEG (frozen),0.5106,0.5106,0.0,frozen,48.94,0.1472,0.2803,0.0,0.4184,0.6813,True
49,22,2.292,Baseline+MHEG (matched),0.5047,0.5106,0.0116,tau_h,49.53,0.1125,0.2523,0.0,0.4722,0.3784,True
49,31,3.229,AF-TOI+MHEG (frozen),0.4979,0.4979,0.0,frozen,50.21,0.1556,0.2061,0.0,0.2665,0.6813,True
49,31,3.229,Baseline+MHEG (matched),0.5057,0.4979,0.0156,tau_h,49.43,0.1236,0.1803,0.0083,0.4615,0.674,True
49,42,4.375,AF-TOI+MHEG (frozen),0.4844,0.4844,0.0,frozen,51.56,0.1333,0.1614,0.0083,0.3241,0.7755,True
49,42,4.375,Baseline+MHEG (matched),0.4828,0.4844,0.0032,tau_h,51.72,0.0722,0.103,0.025,0.664,0.8517,True
49,50,5.208,AF-TOI+MHEG (frozen),0.48,0.48,0.0,frozen,52.0,0.1042,0.1447,0.0,0.1797,0.8293,True
49,50,5.208,Baseline+MHEG (matched),0.474,0.48,0.0127,tau_h,52.6,0.0569,0.0848,0.075,1.2905,0.9286,True
50,2,0.208,AF-TOI+MHEG (frozen),0.4521,0.4521,0.0,frozen,54.79,0.1741,0.5225,0.0084,1.9087,0.3217,True
50,2,0.208,Baseline+MHEG (matched),0.4457,0.4521,0.0142,tau_h,55.43,0.0392,0.3262,0.0084,0.724,0.0,True
50,6,0.625,AF-TOI+MHEG (frozen),0.4708,0.4708,0.0,frozen,52.92,0.3453,0.5053,0.0083,1.5959,0.3448,True
50,6,0.625,Baseline+MHEG (matched),0.472,0.4708,0.0026,tau_h,52.8,0.0292,0.2515,0.0083,0.914,0.0488,True
50,10,1.042,AF-TOI+MHEG (frozen),0.4782,0.4782,0.0,frozen,52.18,0.4839,0.5674,0.0,1.3411,0.4106,True
50,10,1.042,Baseline+MHEG (matched),0.4802,0.4782,0.004,tau_h,51.98,0.0472,0.2144,0.0083,0.9053,0.125,True
50,14,1.458,AF-TOI+MHEG (frozen),0.4775,0.4775,0.0,frozen,52.25,0.5153,0.5659,0.0,1.0885,0.4615,True
50,14,1.458,Baseline+MHEG (matched),0.4787,0.4775,0.0025,tau_h,52.13,0.0653,0.2174,0.0,0.513,0.125,True
50,18,1.875,AF-TOI+MHEG (frozen),0.4683,0.4683,0.0,frozen,53.17,0.5194,0.5932,0.0,0.9774,0.481,True
50,18,1.875,Baseline+MHEG (matched),0.4754,0.4683,0.0151,tau_h,52.46,0.1264,0.2758,0.0,0.4835,0.1102,True
50,22,2.292,AF-TOI+MHEG (frozen),0.4619,0.4619,0.0,frozen,53.81,0.5042,0.5818,0.0,0.8186,0.5542,True
50,22,2.292,Baseline+MHEG (matched),0.4641,0.4619,0.0048,tau_h,53.59,0.1986,0.3121,0.0,0.4392,0.2482,True
50,31,3.229,AF-TOI+MHEG (frozen),0.452,0.452,0.0,frozen,54.8,0.4017,0.4924,0.0,0.5278,0.6127,True
50,31,3.229,Baseline+MHEG (matched),0.4484,0.452,0.008,tau_h,55.16,0.2419,0.3061,0.0083,0.465,0.6286,True
50,42,4.375,AF-TOI+MHEG (frozen),0.4517,0.4517,0.0,frozen,54.83,0.2542,0.3341,0.0,0.3368,0.5882,True
50,42,4.375,Baseline+MHEG (matched),0.454,0.4517,0.005,tau_h,54.6,0.1875,0.2924,0.0167,0.5083,0.8679,True
50,50,5.208,AF-TOI+MHEG (frozen),0.4477,0.4477,0.0,frozen,55.23,0.2125,0.3015,0.0,0.2535,0.6813,True
